score_group,Netflix,Hulu,Prime Video,Disney+
1 - 10,17,24,271,8
11 - 20,84,124,348,26
21 - 30,50,61,115,11
31 - 40,752,195,1049,107
41 - 50,1515,463,1837,311
51 - 60,1494,709,1257,351
61 - 70,970,602,693,246
71 - 80,526,359,278,133
81 - 90,225,121,87,76
91 - 100,26,10,9,4
